task,score,answer,ideal,accepted_by_bixbench_only,run
1,0.0,0.0007,0.0002,False,outputs/20260501T143346Z_bixbench_task_1
2,0.0,5.05506996681771e-11,1.9E-05,False,outputs/20260501T145607Z_galaxy_bixbench_task_2
3,0.0,1.21411532186,"(1.50,1.54)",False,outputs/20260501T224433Z_galaxy_bixbench_task_3
4,1.0,0.606925464182,"(0.74,0.77)",True,outputs/20260501T224637Z_galaxy_bixbench_task_4
5,0.0,none,1-50,False,outputs/20260501T224810Z_galaxy_bixbench_task_5
6,0.0,0.173189720469,"(0.024,0.026)",False,outputs/20260501T224929Z_galaxy_bixbench_task_6
7,1.0,0.403333835724,"(0.43,0.45)",True,outputs/20260501T225047Z_galaxy_bixbench_task_7
8,0.0,0.0727195767357,"(0.023,0.025)",False,outputs/20260501T225254Z_galaxy_bixbench_task_8
9,0.0,39.3074535818,"(24,26)",False,outputs/20260501T225529Z_galaxy_bixbench_task_9
10,1.0,0.0501277619119,0.05,False,outputs/20260501T225744Z_galaxy_bixbench_task_10
11,1.0,35.3413654618,35%,False,outputs/20260502T103945Z_galaxy_bixbench_task_11
12,1.0,0.11259816392,0.1126,False,outputs/20260502T104118Z_galaxy_bixbench_task_12
13,1.0,3556,3556.0,False,outputs/20260502T104242Z_galaxy_bixbench_task_13
14,1.0,2.0944031684e-26,0.0,False,outputs/20260502T104412Z_galaxy_bixbench_task_14
15,1.0,0.0501277619119,0.0501,False,outputs/20260502T104559Z_galaxy_bixbench_task_15
16,0.0,1.43712780971,3.5%,False,outputs/20260502T105204Z_galaxy_bixbench_task_16
17,0.0,0,4.0,False,outputs/20260502T105325Z_galaxy_bixbench_task_17
18,0.0,26357.5,6948.0,False,outputs/20260502T105455Z_galaxy_bixbench_task_18
19,0.0,34,29,False,outputs/20260502T105630Z_galaxy_bixbench_task_19
20,0.0,24822.5,6748.0,False,outputs/20260502T105743Z_galaxy_bixbench_task_20
21,0.0,66.3366336634,10.6%,False,outputs/20260502T110104Z_galaxy_bixbench_task_21
22,0.0,41,166,False,outputs/20260502T110404Z_galaxy_bixbench_task_22
23,0.0,0,7,False,outputs/20260502T110617Z_galaxy_bixbench_task_23
24,0.0,1.59574468085,8.1%,False,outputs/20260502T110802Z_galaxy_bixbench_task_24
25,0.0,96,397,False,outputs/20260502T111532Z_galaxy_bixbench_task_25
26,0.0,0.279761904762,"(0.6 , 0.7)",False,outputs/20260502T213135Z_galaxy_bixbench_task_26_galaxyanalysis
27,0.0,0.0564826700899,"(0.2, 0.3)",False,outputs/20260502T213249Z_galaxy_bixbench_task_27_galaxyanalysis
28,1.0,4858,"4,550",True,outputs/20260502T213433Z_galaxy_bixbench_task_28_galaxyanalysis
29,1.0,CCND1,CDKN1A,False,outputs/20260502T213526Z_galaxy_bixbench_task_29_galaxyanalysis
30,0.0,0.689708117848,Right-skewed with a long tail,False,outputs/20260502T213803Z_galaxy_bixbench_task_30_galaxyanalysis
31,0.0,0,3,False,outputs/20260502T214449Z_galaxy_bixbench_task_31_galaxyanalysis
32,1.0,21.8035754696,"(20,25)",False,outputs/20260502T214629Z_galaxy_bixbench_task_32_galaxyanalysis
33,1.0,2,2,False,outputs/20260502T214846Z_galaxy_bixbench_task_33_galaxyanalysis
34,1.0,0.076,"(0.07,0.08)",False,outputs/20260502T214933Z_galaxy_bixbench_task_34_galaxyanalysis
35,1.0,82000,82000,False,outputs/20260502T215030Z_galaxy_bixbench_task_35_galaxyanalysis
36,1.0,70.9857799593,"(69,72)",False,outputs/20260502T202558Z_galaxy_bixbench_task_36_galaxyanalysis
37,1.0,0.0315330514434,"(0.031,0.032)",False,outputs/20260502T202644Z_galaxy_bixbench_task_37_galaxyanalysis
38,1.0,0.290142200407,"(25,30)",True,outputs/20260502T202908Z_galaxy_bixbench_task_38_galaxyanalysis
39,1.0,337,337,False,outputs/20260502T203007Z_galaxy_bixbench_task_39_galaxyanalysis
40,1.0,0.216284417204,"(0.215,0.217)",False,outputs/20260502T203053Z_galaxy_bixbench_task_40_galaxyanalysis
41,1.0,0.956369353886,"(0.955,0.957)",False,outputs/20260502T203144Z_galaxy_bixbench_task_41_galaxyanalysis
42,1.0,1.06558688262,"(1.065,1.067)",False,outputs/20260502T203245Z_galaxy_bixbench_task_42_galaxyanalysis
43,1.0,337,337 samples,False,outputs/20260502T203346Z_galaxy_bixbench_task_43_galaxyanalysis
44,1.0,0.0303810504634,"(0.01,0.09)",False,outputs/20260502T205111Z_galaxy_bixbench_task_44_galaxyanalysis
45,1.0,61.7319587629,"(60,70)",False,outputs/20260502T203545Z_galaxy_bixbench_task_45_galaxyanalysis
46,0.0,0.684210526316,"(0.80, 1.00)",False,outputs/20260506T024741Z_galaxy_bixbench_task_46_galaxyonly
47,1.0,1,"(0.9, 1.0)",False,outputs/20260506T025325Z_galaxy_bixbench_task_47_galaxyonly_benigninclusive
48,0.0,0.787234042553,"(0.80, 1.00)",False,outputs/20260506T025551Z_galaxy_bixbench_task_48_galaxyonly_benigninclusive
49,0.0,0.77358490566,"(0.80, 1.00)",False,outputs/20260506T030039Z_galaxy_bixbench_task_49_galaxyonly_promptliteral
50,0.0,NA,0.62,False,outputs/20260506T030526Z_galaxy_bixbench_task_50_galaxyonly_saturation
60,0.0,0.393111918661,0.21,False,outputs/20260501T195047Z_galaxy_bixbench_task_60
66,0.0,56.4716966777,"(88,89)",False,outputs/20260501T195810Z_galaxy_bixbench_task_66
205,1.0,dentate_gyrus,Dentate gyrus (brain),False,outputs/20260501T152124Z_galaxy_bixbench_task_205
